TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
518778.7677,342.027,-107.421,957.761,-953.75,-2406.25,-323.75,-117.04,1.52,-250.8
518778.8177,339.221,-100.223,965.874,-2117.5,1102.5,-4471.25,-115.52,-12.16,-252.32
518778.8677,307.135,-81.008,975.817,-5477.5,-4261.25,-6536.25,-92.72,-6.08,-246.24
518778.9177,298.595,-113.277,980.697,-3106.25,-428.75,-7297.5,-100.32,-12.16,-261.44
518778.9678,297.863,-93.025,975.695,-5652.5,-4121.25,-4742.5,-97.28,-9.12,-261.44
518779.0177,320.86,-140.483,988.383,-4261.25,-3316.25,-6002.5,-94.24,-16.72,-252.32
518779.0677,296.643,-75.64,959.957,-3176.25,-6116.25,-3605.0,-94.24,-25.84,-244.72
518779.1177,343.674,-161.467,979.172,-5407.5,-770.0,-481.25,-94.24,3.04,-234.08
518779.1677,296.582,-119.865,971.486,463.75,-2651.25,-4637.5,-98.8,-4.56,-250.8
518779.2177,312.869,-114.741,979.416,-437.5,-4261.25,-2336.25,-95.76,-3.04,-247.76
518779.2677,315.37,-118.523,980.087,341.25,-3850.0,-1828.75,-97.28,-21.28,-272.08
518779.3177,307.562,-101.626,970.937,1023.75,-3001.25,-2975.0,-107.92,-15.2,-249.28
518779.3677,312.442,-99.308,983.686,1032.5,-2756.25,-4620.0,-109.44,-16.72,-267.52
518779.4177,346.541,-69.601,961.482,-4532.5,-6212.5,-6160.0,-100.32,-13.68,-270.56
518779.4677,352.824,-95.343,971.486,-4130.0,-5547.5,-3753.75,-118.56,-15.2,-246.24
518779.5177,352.397,-82.838,956.236,3185.0,-4515.0,2485.0,-98.8,-21.28,-252.32
518779.5677,335.439,-78.873,955.138,2143.75,-2765.0,5547.5,-114.0,-12.16,-264.48
518779.6177,342.454,-84.546,975.085,1277.5,1312.5,2765.0,-95.76,-6.08,-259.92
518779.6677,286.578,-69.052,982.832,-3780.0,813.75,-5757.5,-100.32,-13.68,-264.48
518779.7177,291.092,-79.422,976.915,-7437.5,-1146.25,-7787.5,-92.72,-22.8,-275.12
518779.7677,296.277,-110.532,986.248,-6247.5,-3167.5,-4751.25,-110.96,-16.72,-267.52
518779.8177,304.451,-113.521,981.551,-1496.25,-3255.0,3360.0,-101.84,-12.16,-269.04
518779.8677,298.9,-110.532,975.878,1233.75,-2388.75,4165.0,-88.16,-18.24,-281.2
518779.9177,307.562,-95.648,978.013,420.0,-3771.25,2388.75,-86.64,-3.04,-276.64
518779.9677,303.231,-80.337,979.05,-1286.25,-2555.0,-595.0,-94.24,-12.16,-273.6
518780.0177,287.92,-90.707,979.477,-4348.75,-4462.5,-691.25,-101.84,-12.16,-278.16
518780.0677,290.604,-91.195,980.88,-2896.25,-5390.0,1076.25,-106.4,-21.28,-266.0
518780.1177,297.009,-99.491,980.819,-3596.25,-6002.5,2555.0,-114.0,-9.12,-264.48
518780.1677,310.063,-121.878,977.098,-778.75,-6413.75,4095.0,-114.0,-9.12,-250.8
518780.2177,305.244,-89.975,969.046,796.25,-5136.25,2555.0,-92.72,-9.12,-267.52
518780.2677,303.658,-96.624,981.734,-1050.0,-4970.0,1522.5,-114.0,-19.76,-264.48
518780.3177,305.305,-96.014,975.39,-1461.25,-4025.0,218.75,-89.68,-7.6,-264.48
518780.3677,298.473,-95.831,978.379,-1776.25,-2808.75,-26.25,-98.8,-15.2,-273.6
518780.4177,285.846,-101.321,984.357,-2782.5,-7936.25,1741.25,-98.8,-12.16,-261.44
518780.4677,321.897,-107.604,972.462,-1461.25,-5635.0,2266.25,-101.84,0.0,-253.84
518780.5177,301.157,-104.493,975.329,-1583.75,-5958.75,1583.75,-94.24,-16.72,-259.92
518780.5677,308.233,-105.103,977.281,-796.25,-6265.0,-113.75,-112.48,-7.6,-269.04
518780.6177,310.429,-102.907,972.401,-350.0,-6352.5,288.75,-103.36,-27.36,-255.36
518780.6677,313.967,-93.574,977.464,-525.0,-6335.0,43.75,-104.88,-16.72,-261.44
518780.7177,311.1,-93.635,973.987,-1723.75,-5197.5,-516.25,-106.4,-21.28,-266.0
518780.7677,313.784,-96.929,976.61,-1706.25,-4996.25,-577.5,-103.36,-9.12,-269.04
518780.8177,310.063,-98.515,973.316,-1540.0,-4532.5,420.0,-107.92,-34.96,-253.84
518780.8677,315.065,-107.848,980.941,-927.5,-4287.5,437.5,-88.16,-15.2,-247.76
518780.9177,307.501,-98.149,976.549,350.0,-4357.5,-218.75,-110.96,-4.56,-269.04
518780.9677,298.046,-93.025,975.756,-2222.5,-5040.0,-866.25,-86.64,-12.16,-266.0
518781.0177,299.937,-96.014,979.599,-1303.75,-6798.75,-2231.25,-112.48,-18.24,-256.88
518781.0677,321.836,-87.779,972.462,-2712.5,-4480.0,-1916.25,-94.24,-18.24,-247.76
518781.1177,312.93,-97.234,971.303,-3106.25,-4926.25,-61.25,-92.72,-22.8,-256.88
518781.1677,315.431,-103.883,975.146,-2143.75,-5232.5,665.0,-100.32,-7.6,-247.76
518781.2178,314.333,-96.563,974.048,-1618.75,-4165.0,770.0,-103.36,0.0,-262.96
518781.2677,304.451,-105.713,977.708,-1155.0,-5075.0,857.5,-83.6,-16.72,-261.44
518781.3177,315.126,-85.095,980.575,857.5,-6256.25,595.0,-100.32,-22.8,-255.36
518781.3677,321.958,-83.936,973.743,-1032.5,-6632.5,385.0,-100.32,-13.68,-258.4
518781.4177,319.152,-85.644,972.95,-1085.0,-7271.25,428.75,-97.28,-13.68,-252.32
518781.4677,309.27,-73.688,973.926,-2843.75,-7936.25,3412.5,-103.36,-18.24,-255.36
518781.5177,330.559,-106.079,972.462,-4690.0,-7726.25,2791.25,-95.76,0.0,-262.96
518781.5677,340.441,-116.51,973.499,-358.75,-5486.25,-892.5,-92.72,-15.2,-269.04
518781.6177,317.749,-90.829,975.695,1452.5,-6247.5,-612.5,-101.84,-4.56,-250.8
518781.6677,312.076,-74.786,973.133,3088.75,-8557.5,2730.0,-100.32,-30.4,-267.52
518781.7177,338.062,-71.126,958.798,2222.5,-6536.25,7490.0,-112.48,-13.68,-249.28
518781.7677,324.947,-69.601,965.935,-1688.75,-4812.5,3893.75,-117.04,-27.36,-255.36
518781.8177,316.895,-106.018,976.915,-5031.25,-3255.0,2126.25,-101.84,-22.8,-253.84
518781.8677,315.98,-91.195,986.065,-2843.75,-5267.5,-5337.5,-115.52,-12.16,-256.88
518781.9177,335.805,-90.951,983.015,-4506.25,-10386.25,-5250.0,-92.72,9.12,-252.32
518781.9677,372.588,-95.892,953.491,551.25,-13020.0,5556.25,-107.92,-22.8,-258.4
518782.0177,391.071,-96.563,937.509,-1111.25,-7043.75,6431.25,-110.96,12.16,-246.24
518782.0677,351.36,-108.885,953.125,-2633.75,-831.25,3456.25,-118.56,-15.2,-261.44
518782.1177,308.965,-120.536,968.131,656.25,-3255.0,533.75,-106.4,-6.08,-243.2
518782.1677,315.858,-120.841,980.941,2905.0,-2178.75,105.0,-110.96,-27.36,-262.96
518782.2177,311.954,-79.788,970.266,4147.5,-4217.5,-988.75,-117.04,-7.6,-258.4
518782.2677,327.082,-69.967,987.102,-1995.0,-6212.5,-2730.0,-132.24,-21.28,-267.52
518782.3177,314.882,-87.413,989.359,-3517.5,-6422.5,-4681.25,-95.76,-10.64,-247.76
518782.3677,327.631,-94.367,980.392,-1671.25,-12258.75,-8540.0,-117.04,-21.28,-250.8
518782.4177,364.17,-73.139,961.177,1190.0,-13746.25,-2878.75,-97.28,-19.76,-264.48
518782.4677,386.313,-49.166,953.613,-1041.25,-10736.25,-2668.75,-100.32,-27.36,-258.4
