TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1586.8008,-374114.41,-379200.69,-370934.1,-376458.64,-371397.11,-370595.31,-354289.14
1586.8048,-372473.57,-375541.06,-369146.53,-375019.31,-368228.77,-369466.25,-360875.84
1586.8088,-368473.34,-363900.13,-376853.42,-376957.37,-370338.05,-371082.45,-381227.11
1586.8128,-368158.19,-361547.27,-383063.12,-379527.71,-374940.06,-373129.51,-384632.44
1586.8168,-370882.36,-369311.04,-380059.86,-379242.23,-375619.36,-372921.7,-371505.4
1586.8208,-374107.93,-379205.8,-371051.78,-376523.97,-371488.47,-370600.08,-354331.96
1586.8248,-372487.21,-375650.78,-369127.51,-375056.98,-368263.34,-369444.27,-360693.45
1586.8288,-368510.72,-363983.58,-376740.36,-376966.38,-370268.77,-371033.76,-381142.47
1586.8328,-368161.53,-361521.05,-383043.24,-379542.44,-374891.09,-373107.57,-384691.28
1586.8368,-370801.11,-369216.82,-380190.23,-379257.44,-375658.99,-372974.96,-371594.85
1586.8408,-373956.53,-379156.59,-371182.58,-376532.79,-371570.77,-370733.11,-354330.96
1586.8448,-372394.27,-375709.39,-369106.62,-375041.1,-368285.99,-369574.07,-360565.32
1586.8488,-368565.79,-364024.87,-376624.92,-376929.76,-370250.22,-371034.95,-381019.73
1586.8528,-368423.65,-361493.96,-382954.74,-379525.52,-374894.14,-372931.95,-384668.83
1586.8568,-371134.52,-369135.52,-380171.44,-379283.52,-375706.24,-372735.74,-371663.57
1586.8608,-374210.55,-379117.06,-371227.21,-376560.35,-371636.91,-370552.44,-354332.25
1586.8647,-372506.81,-375774.48,-369087.07,-375024.32,-368284.13,-369456.72,-360351.18
1586.8687,-368574.0,-364081.57,-376574.13,-376899.72,-370180.51,-370964.86,-380870.72
1586.8727,-368278.55,-361417.48,-382937.52,-379497.72,-374814.36,-372926.33,-384780.17
1586.8767,-370926.14,-369048.88,-380262.85,-379305.5,-375740.19,-372849.37,-371855.49
1586.8807,-373947.14,-379070.04,-371338.08,-376564.74,-371725.7,-370734.55,-354386.66
1586.8847,-372190.57,-375789.73,-369120.74,-374994.99,-368322.61,-369683.5,-360233.83
1586.8887,-368161.2,-364030.5,-376538.32,-376845.88,-370122.29,-371217.82,-380860.61
1586.8927,-367964.41,-361317.3,-382929.32,-379461.72,-374767.35,-373146.63,-384849.21
1586.8967,-370889.61,-368906.73,-380256.7,-379291.87,-375747.53,-372877.17,-371959.25
