TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1586.8931,827.282,-159.027,599.508,-1461.25,-4593.75,516.25,-156.56,-256.88,-269.04
1586.9431,831.674,-154.208,609.085,-1802.5,-4856.25,437.5,-145.92,-272.08,-266.0
1586.9931,833.748,-158.112,605.73,-1260.0,-4716.25,262.5,-150.48,-258.4,-281.2
1587.0431,830.881,-156.282,604.144,-1487.5,-4742.5,743.75,-142.88,-253.84,-273.6
1587.0931,830.881,-156.648,605.303,-1461.25,-4576.25,647.5,-168.72,-273.6,-278.16
1587.1431,829.356,-153.415,605.73,-1461.25,-4803.75,761.25,-153.52,-249.28,-275.12
1587.1931,833.138,-160.125,605.181,-1548.75,-4593.75,393.75,-135.28,-266.0,-270.56
1587.2431,829.722,-155.245,606.584,-1627.5,-4401.25,393.75,-147.44,-267.52,-264.48
1587.2931,829.661,-155.733,607.377,-1531.25,-4567.5,682.5,-155.04,-249.28,-270.56
1587.3431,831.186,-155.855,605.791,-1435.0,-4943.75,770.0,-145.92,-256.88,-272.08
1587.3931,830.515,-156.892,604.327,-1470.0,-4681.25,770.0,-148.96,-252.32,-275.12
1587.4431,828.746,-155.123,605.425,-1636.25,-4786.25,472.5,-142.88,-264.48,-270.56
1587.4931,832.162,-155.245,604.937,-1540.0,-4690.0,411.25,-155.04,-244.72,-273.6
1587.5431,829.966,-156.587,606.828,-1365.0,-4935.0,743.75,-138.32,-261.44,-261.44
1587.5931,832.345,-158.966,603.046,-1548.75,-4628.75,822.5,-141.36,-262.96,-266.0
1587.6431,830.149,-154.94,605.242,-1548.75,-4707.5,743.75,-161.12,-258.4,-273.6
1587.6931,832.101,-155.367,605.242,-1487.5,-4690.0,306.25,-136.8,-255.36,-278.16
1587.7431,834.053,-156.16,604.083,-1601.25,-4628.75,367.5,-139.84,-246.24,-279.68
1587.7931,832.101,-157.38,605.608,-1566.25,-4541.25,542.5,-147.44,-259.92,-267.52
1587.8431,832.406,-156.953,608.78,-1548.75,-4646.25,726.25,-170.24,-259.92,-270.56
1587.8931,832.467,-156.343,606.34,-1470.0,-4777.5,507.5,-141.36,-267.52,-275.12
1587.9431,831.674,-157.38,602.619,-1435.0,-4593.75,315.0,-147.44,-262.96,-269.04
1587.9931,831.125,-155.672,606.767,-1758.75,-4462.5,560.0,-165.68,-269.04,-269.04
1588.0432,830.393,-155.611,604.327,-1452.5,-4646.25,533.75,-148.96,-247.76,-273.6
1588.0931,833.138,-155.428,606.584,-1443.75,-4830.0,560.0,-132.24,-255.36,-267.52
1588.1431,830.576,-156.892,605.12,-1697.5,-4523.75,533.75,-164.16,-273.6,-267.52
1588.1931,832.101,-157.441,605.913,-1697.5,-4427.5,577.5,-150.48,-264.48,-272.08
1588.2431,831.064,-157.807,606.462,-1426.25,-4506.25,507.5,-138.32,-259.92,-267.52
1588.2931,831.552,-155.306,604.083,-1557.5,-4497.5,743.75,-136.8,-262.96,-267.52
1588.3431,830.759,-158.356,607.255,-1540.0,-4480.0,533.75,-156.56,-249.28,-270.56
1588.3931,831.918,-154.757,605.608,-1461.25,-4838.75,420.0,-144.4,-246.24,-276.64
1588.4431,830.149,-156.465,606.096,-1601.25,-4620.0,306.25,-148.96,-259.92,-276.64
1588.4931,830.698,-157.685,604.937,-1496.25,-4672.5,656.25,-148.96,-252.32,-258.4
1588.5431,831.003,-156.831,606.157,-1583.75,-4786.25,735.0,-144.4,-266.0,-264.48
1588.5931,831.491,-157.258,608.353,-1566.25,-4742.5,498.75,-148.96,-253.84,-282.72
1588.6431,830.393,-156.892,605.242,-1732.5,-4418.75,323.75,-161.12,-259.92,-259.92
1588.6931,831.125,-157.563,605.303,-1365.0,-4576.25,280.0,-147.44,-253.84,-282.72
1588.7431,830.759,-155.916,604.998,-1382.5,-4900.0,647.5,-158.08,-256.88,-288.8
1588.7931,831.552,-158.051,604.937,-1540.0,-4777.5,717.5,-145.92,-252.32,-279.68
1588.8431,832.101,-155.123,605.486,-1680.0,-4427.5,420.0,-148.96,-258.4,-275.12
1588.8931,828.807,-158.417,606.767,-1487.5,-4760.0,323.75,-147.44,-264.48,-275.12
1588.9431,831.613,-155.367,605.181,-1583.75,-4585.0,446.25,-142.88,-261.44,-278.16
1588.9931,829.661,-159.088,604.083,-1505.0,-4663.75,778.75,-147.44,-252.32,-258.4
1589.0431,833.138,-155.916,604.754,-1461.25,-4838.75,787.5,-153.52,-264.48,-281.2
1589.0931,831.674,-155.001,604.815,-1618.75,-4296.25,630.0,-144.4,-258.4,-273.6
1589.1431,830.82,-155.733,604.327,-1715.0,-4235.0,402.5,-144.4,-258.4,-273.6
1589.1931,829.173,-156.465,606.34,-1391.25,-4751.25,455.0,-152.0,-253.84,-267.52
1589.2431,830.088,-155.794,606.584,-1443.75,-4751.25,708.75,-162.64,-259.92,-276.64
