TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1917.8752,-371213.53,-369959.21,-375322.58,-377123.73,-371016.59,-371669.72,-371382.61
1917.8792,-368630.69,-360221.05,-380184.17,-378921.51,-370958.37,-372742.98,-388503.31
1917.8832,-370246.55,-363978.48,-381531.33,-380117.56,-373798.75,-373735.57,-381521.7
1917.8872,-373874.76,-376326.18,-377637.48,-379099.41,-375800.51,-373384.0,-359852.26
1917.8912,-375090.17,-381477.74,-373416.37,-377246.23,-374242.16,-372105.64,-350436.63
1917.8952,-371342.37,-370165.3,-375341.41,-377185.15,-371125.12,-371745.82,-370926.52
1917.8992,-368890.04,-360319.56,-380169.77,-378979.49,-371013.21,-372647.81,-388263.75
1917.9032,-370610.52,-363965.89,-381560.13,-380183.93,-373835.04,-373498.77,-381471.01
1917.9072,-374296.57,-376305.77,-377748.15,-379199.6,-375890.82,-373103.33,-359853.41
1917.9112,-375494.05,-381612.11,-373509.64,-377343.75,-374368.24,-371855.97,-350163.6
1917.9152,-371634.38,-370451.26,-375403.26,-377271.22,-371259.54,-371633.72,-370464.7
1917.9192,-368911.98,-360411.4,-380231.38,-379038.71,-371056.03,-372681.9,-388158.61
1917.9232,-370400.14,-363888.74,-381659.89,-380228.85,-373827.74,-373675.01,-381589.7
1917.9272,-373949.05,-376183.36,-377857.83,-379241.23,-375915.43,-373390.1,-359979.29
1917.9312,-375209.9,-381635.43,-373540.3,-377380.23,-374419.78,-372156.66,-349994.65
1917.9352,-371482.7,-370595.12,-375312.52,-377262.11,-371270.84,-371814.63,-369984.48
1917.9391,-368848.7,-360388.85,-380145.79,-379017.73,-371011.35,-372721.0,-388027.76
1917.9431,-370501.28,-363764.95,-381611.68,-380243.87,-373766.28,-373580.79,-381708.76
1917.9471,-374205.01,-376017.33,-377817.1,-379269.41,-375833.27,-373155.21,-360227.72
1917.9511,-375566.24,-381652.97,-373471.07,-377390.53,-374373.29,-371841.28,-349926.61
1917.9551,-371838.9,-370804.97,-375256.34,-377268.26,-371292.49,-371534.96,-369634.24
1917.9591,-368972.87,-360660.69,-380540.51,-379102.94,-371492.76,-372713.56,-387527.85
1917.9631,-370334.57,-364043.14,-382278.06,-380395.22,-374499.27,-373888.49,-381247.95
1917.9671,-373812.82,-376133.3,-378222.03,-379373.31,-376246.59,-373606.44,-360188.05
1917.9711,-375236.37,-381575.2,-373269.08,-377387.28,-374151.08,-372142.22,-350365.01
1917.9751,-371727.51,-370750.61,-374963.42,-377203.51,-371068.9,-371579.79,-369853.35
1917.9791,-369010.59,-360644.19,-380443.9,-379022.02,-371453.38,-372557.06,-387524.03
1917.9831,-370293.04,-364003.65,-382386.3,-380342.1,-374590.92,-373782.58,-381270.22
1917.9871,-373598.72,-376021.53,-378292.89,-379318.85,-376248.88,-373631.24,-360525.22
1917.9911,-375133.03,-381566.57,-373216.48,-377311.42,-374116.61,-372092.15,-350616.93
1917.9951,-371975.37,-370756.48,-374824.47,-377141.85,-370977.3,-371278.38,-370142.74
1917.9991,-369426.06,-360522.89,-380167.29,-378957.7,-371170.85,-372107.65,-387919.81
1918.003,-370420.21,-363746.88,-382017.09,-380238.44,-374155.18,-373502.44,-381855.1
1918.007,-373326.06,-375849.2,-378219.98,-379246.57,-376069.69,-373747.92,-360951.9
1918.011,-374553.2,-381724.02,-373606.92,-377323.62,-374457.5,-372649.81,-350460.0
1918.015,-371144.77,-370846.98,-375159.59,-377107.52,-371262.21,-371966.88,-370138.55
1918.019,-368686.82,-360398.19,-379891.73,-378764.01,-370909.54,-372470.28,-388322.11
1918.023,-370253.85,-363363.5,-381387.09,-380013.42,-373515.36,-373289.92,-382517.67
1918.027,-373515.03,-375436.92,-377678.92,-379068.28,-375475.45,-373225.64,-361503.69
1918.031,-374585.39,-381446.6,-373265.84,-377169.51,-374013.04,-372227.57,-350742.0
1918.035,-370685.29,-370493.27,-374967.43,-376911.49,-370915.55,-371801.85,-370627.54
1918.039,-368204.45,-360165.69,-379729.36,-378573.56,-370642.66,-372357.51,-388638.11
1918.043,-370017.24,-363195.61,-381287.0,-379878.9,-373389.19,-373080.11,-382739.64
1918.047,-373454.09,-375289.39,-377674.34,-378956.17,-375515.6,-372931.38,-361480.09
1918.051,-374481.91,-381416.46,-373296.69,-377029.94,-374143.93,-372029.4,-350268.02
1918.055,-370346.45,-370456.12,-375096.89,-376839.4,-371037.15,-371974.23,-370227.81
1918.059,-367693.28,-360148.9,-379908.32,-378652.47,-370724.1,-372943.49,-388405.27
1918.063,-369487.47,-363066.05,-381457.33,-379978.65,-373412.7,-373675.15,-382683.7
1918.0669,-373394.1,-375133.51,-377780.43,-379080.67,-375573.3,-373133.66,-361447.23
1918.0709,-375000.81,-381423.61,-373284.53,-377150.87,-374240.4,-371784.54,-349899.86
1918.0749,-371038.1,-370510.72,-374988.36,-376939.91,-371091.79,-371570.82,-369811.34
1918.0789,-368186.95,-360190.39,-379852.05,-378743.36,-370747.9,-372659.82,-388120.22
1918.0829,-369831.8,-363093.99,-381530.9,-380110.17,-373452.99,-373547.07,-382655.33
1918.0869,-373750.73,-375140.33,-377903.55,-379204.51,-375604.63,-372991.56,-361578.79
1918.0909,-375479.12,-381575.92,-373316.05,-377263.78,-374285.22,-371598.34,-349848.74
1918.0949,-371464.87,-370807.22,-374943.83,-377017.5,-371137.19,-371457.81,-369449.71
1918.0989,-368288.56,-360331.2,-379877.56,-378816.22,-370745.08,-372782.37,-387994.19
1918.1029,-369535.82,-363092.23,-381638.19,-380191.42,-373421.05,-373958.3,-382772.21
1918.1069,-373275.42,-375127.46,-378050.8,-379305.84,-375612.73,-373579.93,-361863.13
1918.1109,-375223.63,-381691.98,-373358.82,-377352.43,-374308.68,-372035.55,-349932.81
1918.1149,-371688.98,-371065.76,-374843.74,-377057.31,-371142.0,-371479.65,-369113.3
1918.1189,-368796.92,-360382.17,-379728.93,-378814.12,-370698.59,-372422.55,-387866.3
1918.1229,-370136.26,-362998.58,-381549.07,-380201.24,-373368.88,-373464.87,-382848.17
