TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2077.7739,836.737,-164.822,595.299,-1540.0,-4733.75,358.75,-167.2,-249.28,-259.92
2077.8239,835.517,-165.005,597.434,-1671.25,-4348.75,621.25,-144.4,-261.44,-276.64
2077.8739,836.432,-165.859,595.421,-1338.75,-4742.5,691.25,-142.88,-249.28,-266.0
2077.9239,835.761,-166.042,596.58,-1531.25,-4707.5,813.75,-158.08,-253.84,-267.52
2077.9739,835.883,-165.188,595.787,-1522.5,-4803.75,498.75,-150.48,-255.36,-261.44
2078.0239,833.809,-165.615,596.824,-1513.75,-4471.25,341.25,-148.96,-259.92,-282.72
2078.0739,838.201,-165.859,595.36,-1400.0,-4777.5,673.75,-159.6,-249.28,-266.0
2078.1239,836.371,-164.273,598.044,-1583.75,-4655.0,857.5,-153.52,-250.8,-276.64
2078.1739,836.92,-165.798,597.861,-1330.0,-4803.75,735.0,-152.0,-246.24,-269.04
2078.2239,834.846,-165.066,596.885,-1435.0,-4663.75,271.25,-139.84,-249.28,-284.24
2078.2739,835.212,-167.079,596.214,-1443.75,-4488.75,350.0,-158.08,-267.52,-272.08
2078.3239,834.663,-163.419,598.166,-1277.5,-4777.5,621.25,-153.52,-253.84,-275.12
2078.3739,839.482,-165.981,596.824,-1540.0,-4637.5,910.0,-150.48,-262.96,-266.0
2078.4239,837.774,-167.201,594.323,-1601.25,-4786.25,708.75,-130.72,-261.44,-261.44
2078.4739,837.042,-165.676,598.166,-1828.75,-4523.75,402.5,-147.44,-247.76,-256.88
2078.5239,837.896,-163.48,598.105,-1540.0,-4733.75,393.75,-147.44,-261.44,-269.04
2078.574,838.262,-163.358,597.678,-1636.25,-4576.25,542.5,-158.08,-252.32,-279.68
2078.6239,837.286,-165.981,596.397,-1470.0,-4523.75,787.5,-150.48,-256.88,-275.12
2078.6739,834.175,-165.249,597.861,-1522.5,-4497.5,612.5,-139.84,-252.32,-267.52
2078.7239,836.432,-166.225,596.641,-1478.75,-4830.0,428.75,-135.28,-261.44,-264.48
2078.7739,835.395,-165.432,595.787,-1505.0,-4655.0,498.75,-161.12,-262.96,-267.52
2078.8239,834.785,-165.92,597.495,-1548.75,-4672.5,612.5,-167.2,-259.92,-259.92
2078.8739,835.822,-165.188,597.922,-1575.0,-4453.75,743.75,-142.88,-250.8,-255.36
2078.9239,830.698,-165.554,594.018,-1260.0,-4777.5,376.25,-142.88,-246.24,-262.96
2078.9739,834.602,-164.517,596.58,-1478.75,-4803.75,647.5,-155.04,-258.4,-262.96
2079.0239,834.907,-165.005,597.495,-1277.5,-4550.0,612.5,-155.04,-243.2,-258.4
2079.0739,836.92,-168.055,595.543,-1680.0,-4480.0,796.25,-164.16,-252.32,-287.28
2079.1239,836.249,-164.334,597.007,-1636.25,-4681.25,498.75,-150.48,-253.84,-276.64
2079.1739,836.676,-164.273,596.153,-1662.5,-4733.75,490.0,-138.32,-244.72,-264.48
2079.2239,836.127,-167.933,597.8,-1487.5,-4663.75,332.5,-150.48,-264.48,-261.44
2079.2739,836.188,-164.395,596.397,-1487.5,-4751.25,743.75,-148.96,-258.4,-269.04
2079.3239,836.066,-167.567,595.055,-1601.25,-4786.25,761.25,-142.88,-261.44,-273.6
2079.3739,837.957,-163.785,595.36,-1522.5,-4716.25,446.25,-136.8,-247.76,-275.12
2079.4239,834.236,-165.249,597.861,-1443.75,-4585.0,288.75,-155.04,-264.48,-259.92
2079.4739,835.883,-164.883,597.251,-1610.0,-4418.75,367.5,-155.04,-264.48,-264.48
2079.5239,836.615,-165.371,597.007,-1636.25,-4523.75,866.25,-153.52,-252.32,-264.48
2079.5739,837.835,-166.408,595.116,-1408.75,-4751.25,638.75,-158.08,-253.84,-261.44
2079.6239,834.48,-166.835,596.519,-1470.0,-4698.75,376.25,-147.44,-243.2,-250.8
2079.6739,836.859,-166.835,596.397,-1540.0,-4567.5,350.0,-148.96,-249.28,-264.48
2079.7239,834.663,-165.066,598.166,-1583.75,-4436.25,490.0,-156.56,-262.96,-269.04
2079.7739,837.469,-166.347,594.994,-1478.75,-4882.5,822.5,-165.68,-259.92,-266.0
2079.8241,836.249,-167.018,598.41,-1557.5,-4873.75,787.5,-144.4,-252.32,-278.16
2079.8739,835.212,-166.53,597.922,-1496.25,-4532.5,630.0,-142.88,-267.52,-267.52
2079.9239,837.042,-164.395,595.97,-1627.5,-4418.75,411.25,-139.84,-264.48,-258.4
2079.9739,836.493,-165.066,596.458,-1295.0,-4803.75,472.5,-156.56,-259.92,-282.72
2080.0239,833.809,-162.626,596.58,-1417.5,-4812.5,726.25,-158.08,-264.48,-278.16
2080.0739,836.493,-167.994,594.384,-1400.0,-4690.0,630.0,-156.56,-246.24,-270.56
2080.1239,834.846,-161.284,595.177,-1636.25,-4602.5,586.25,-132.24,-258.4,-269.04
2080.1739,837.347,-169.153,596.58,-1662.5,-4698.75,577.5,-145.92,-256.88,-269.04
2080.2239,835.822,-163.053,595.726,-1540.0,-4646.25,621.25,-156.56,-261.44,-272.08
2080.2739,833.992,-163.297,597.495,-1540.0,-4628.75,743.75,-158.08,-243.2,-275.12
2080.3239,836.432,-162.931,596.397,-1592.5,-4768.75,568.75,-150.48,-259.92,-262.96
2080.3739,838.14,-165.981,594.506,-1435.0,-4821.25,490.0,-142.88,-261.44,-255.36
2080.4239,836.859,-166.042,596.946,-1487.5,-4908.75,516.25,-155.04,-261.44,-262.96
2080.4739,836.066,-165.615,595.787,-1653.75,-4453.75,761.25,-150.48,-253.84,-273.6
2080.5239,836.859,-165.676,597.312,-1610.0,-4488.75,621.25,-152.0,-247.76,-276.64
2080.5739,835.517,-165.737,596.702,-1645.0,-4628.75,463.75,-155.04,-255.36,-264.48
2080.6239,832.955,-164.7,598.532,-1575.0,-4672.5,411.25,-142.88,-259.92,-269.04
2080.6739,837.652,-164.944,596.58,-1461.25,-4803.75,638.75,-145.92,-258.4,-250.8
2080.7239,834.297,-165.249,594.567,-1487.5,-4996.25,778.75,-162.64,-252.32,-270.56
2080.7739,834.724,-165.92,597.8,-1400.0,-4576.25,743.75,-156.56,-244.72,-267.52
2080.8239,834.114,-165.066,597.19,-1732.5,-4541.25,472.5,-142.88,-261.44,-270.56
2080.8739,838.201,-166.713,595.177,-1697.5,-4602.5,385.0,-138.32,-256.88,-262.96
2080.9239,836.92,-164.578,597.556,-1627.5,-4585.0,761.25,-147.44,-266.0,-270.56
2080.9739,835.334,-162.26,596.092,-1426.25,-4690.0,726.25,-159.6,-266.0,-252.32
2081.0239,836.981,-167.262,595.665,-1496.25,-4786.25,866.25,-162.64,-256.88,-266.0
2081.0739,834.724,-165.92,595.787,-1522.5,-4567.5,498.75,-152.0,-253.84,-273.6
2081.1239,836.31,-165.188,595.787,-1400.0,-4838.75,402.5,-138.32,-255.36,-261.44
2081.1741,836.798,-165.371,597.556,-1365.0,-4602.5,761.25,-156.56,-258.4,-264.48
2081.2239,834.968,-167.872,594.506,-1557.5,-4663.75,778.75,-164.16,-244.72,-259.92
2081.274,835.395,-166.286,597.373,-1531.25,-4480.0,656.25,-162.64,-252.32,-270.56
2081.3239,836.371,-164.334,597.983,-1610.0,-4541.25,323.75,-147.44,-252.32,-258.4
2081.3739,835.456,-164.7,596.458,-1496.25,-5118.75,437.5,-161.12,-240.16,-267.52
2081.4239,838.384,-164.944,596.824,-1443.75,-4506.25,533.75,-155.04,-264.48,-267.52
2081.4739,836.188,-167.628,596.885,-1548.75,-4672.5,551.25,-155.04,-258.4,-267.52
2081.5239,837.286,-163.846,596.824,-1513.75,-4830.0,542.5,-150.48,-252.32,-267.52
2081.5739,837.347,-165.371,596.336,-1391.25,-4637.5,437.5,-156.56,-255.36,-272.08
2081.6239,837.103,-164.395,596.824,-1741.25,-4462.5,498.75,-155.04,-270.56,-270.56
2081.6739,838.14,-163.785,597.556,-1505.0,-4655.0,673.75,-150.48,-266.0,-273.6
2081.7239,835.517,-164.517,598.105,-1610.0,-4733.75,525.0,-135.28,-261.44,-262.96
2081.7739,834.968,-167.323,595.848,-1522.5,-4663.75,516.25,-150.48,-256.88,-273.6
2081.8239,834.907,-164.09,597.8,-1452.5,-4628.75,542.5,-142.88,-259.92,-285.76
2081.8739,837.164,-164.273,597.8,-1443.75,-4795.0,726.25,-158.08,-232.56,-255.36
2081.9239,837.774,-164.7,596.275,-1478.75,-4672.5,726.25,-155.04,-255.36,-269.04
2081.9739,836.493,-164.944,596.458,-1662.5,-4480.0,595.0,-141.36,-241.68,-261.44
2082.0239,834.663,-165.066,596.824,-1583.75,-4663.75,411.25,-127.68,-253.84,-264.48
2082.0739,836.188,-164.09,596.031,-1618.75,-4707.5,411.25,-152.0,-269.04,-262.96
2082.1239,835.944,-165.981,594.994,-1470.0,-4663.75,787.5,-155.04,-267.52,-262.96
