TimeStamp,Code
3769.8848,sw_6
3780.1122,sw_9
3784.1633,sw_14
3790.208,sw_54
3794.2252,sw_9
3798.2501,sw_14
3804.2776,sw_54
3808.2992,sw_9
3812.309,sw_14
3818.3336,sw_53
3822.3636,sw_9
3826.3769,sw_14
3832.4105,sw_52
3836.4138,sw_9
3840.4469,sw_14
3846.4334,sw_52
3850.4932,sw_9
3854.5126,sw_14
3860.4996,sw_53
3864.5414,sw_9
3868.5771,sw_14
3874.5973,sw_54
3878.6294,sw_9
3882.6256,sw_14
3888.6739,sw_51
3892.6802,sw_9
3896.7074,sw_14
3902.7272,sw_52
3906.7619,sw_9
3910.7474,sw_14
3916.8078,sw_52
3920.8267,sw_9
3924.838,sw_14
3930.8645,sw_51
3934.8917,sw_9
3938.902,sw_14
3944.9271,sw_54
3948.9442,sw_9
3952.9655,sw_14
3959.0076,sw_52
3963.0153,sw_9
3967.0408,sw_14
3973.0727,sw_51
3977.0892,sw_9
3981.1032,sw_14
3987.1281,sw_54
3991.1528,sw_9
3995.159,sw_14
4001.203,sw_53
4005.1992,sw_9
4009.2227,sw_14
4015.2724,sw_53
4019.2882,sw_9
4023.3034,sw_14
4029.3258,sw_53
4033.3437,sw_9
4037.3651,sw_14
4043.3993,sw_51
4047.4194,sw_9
4051.4177,sw_14
4057.454,sw_51
4061.4758,sw_9
4065.5017,sw_14
