         57984006 function calls (56654519 primitive calls) in 229.758 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1432575   28.687    0.000   28.687    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  3288921   22.598    0.000   22.598    0.000 {built-in method numpy.array}
4562995/3255695   16.487    0.000   82.711    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      810   13.097    0.016   14.209    0.018 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:37(normalizeData)
       54   11.706    0.217   11.706    0.217 {method 'read' of '_io.BufferedReader' objects}
     2844    7.765    0.003    7.765    0.003 {method '__deepcopy__' of 'numpy.ndarray' objects}
      810    7.314    0.009    7.371    0.009 f:\PythonProjects\NietoExcercise-1\svmMethods.py:76(onlySignData)
     2430    6.811    0.003    6.822    0.003 {sklearn.svm._libsvm.fit}
     1782    6.359    0.004   17.615    0.010 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\preprocessing\_data.py:865(transform)
   255488    5.950    0.000   45.243    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1576(_spectral_helper)
        1    5.712    5.712  229.761  229.761 <ipython-input-1-45fa06fc51f8>:115(main)
   510976    5.223    0.000    5.223    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.r2c}
        9    4.170    0.463   13.785    1.532 <ipython-input-1-45fa06fc51f8>:76(combineAllSubjects)
      891    3.847    0.004   15.802    0.018 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\nanfunctions.py:1421(nanvar)
   255488    3.812    0.000   14.130    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:39(general_cosine)
   255488    3.441    0.000    8.860    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\function_base.py:23(linspace)
     1782    3.233    0.002   10.488    0.006 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
   899198    3.096    0.000    7.385    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:143(_mean)
        9    3.029    0.337   46.196    5.133 <ipython-input-1-45fa06fc51f8>:36(anovaTest)
      891    2.964    0.003   31.902    0.036 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\extmath.py:792(_incremental_mean_and_var)
       90    2.928    0.033   25.866    0.287 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:72(createListOfDataMixes)
      810    2.553    0.003    4.563    0.006 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:162(shuffleSplitData)
       45    2.308    0.051    9.222    0.205 f:\PythonProjects\NietoExcercise-1\util.py:82(fftCovariance)
   517078    2.304    0.000    2.304    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2430    2.227    0.001    2.227    0.001 {sklearn.svm._libsvm.predict}
       81    2.115    0.026    2.117    0.026 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:150(<listcomp>)
      162    2.053    0.013    3.640    0.022 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\__init__.py:635(safe_sqr)
       27    1.961    0.073    1.961    0.073 {built-in method scipy.ndimage._nd_image.correlate1d}
   255488    1.795    0.000   17.504    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:1870(_fft_helper)
    18967    1.662    0.000    1.662    0.000 {method 'copy' of 'numpy.ndarray' objects}
   255488    1.635    0.000    3.040    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\stride_tricks.py:37(as_strided)
   766924    1.348    0.000    1.348    0.000 {built-in method numpy.arange}
       27    1.260    0.047    3.943    0.146 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:2891(_read_one_epoch_file)
       90    1.222    0.014   29.054    0.323 <ipython-input-1-45fa06fc51f8>:17(mixShuffleSplit)
       36    1.188    0.033    1.188    0.033 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
   899198    1.159    0.000    1.482    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\_methods.py:59(_count_reduce_items)
   255488    1.083    0.000    7.231    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\signaltools.py:3251(detrend)
   510976    0.990    0.000   10.337    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\basic.py:40(r2c)
   894208    0.966    0.000    8.232    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\fromnumeric.py:3269(mean)
      810    0.927    0.001   44.780    0.055 f:\PythonProjects\NietoExcercise-1\svmMethods.py:219(testSuite)
   255488    0.924    0.000   15.455    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\windows\windows.py:2020(get_window)
   261482    0.892    0.000    0.892    0.000 {built-in method numpy.zeros}
       81    0.871    0.011   12.671    0.156 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:123(f_classif)
      243    0.870    0.004    5.231    0.022 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:98(<genexpr>)
   255488    0.833    0.000    2.188    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\shape_base.py:512(expand_dims)
       27    0.829    0.031    0.996    0.037 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:3368(_concatenate_epochs)
        9    0.796    0.088   19.534    2.170 f:\PythonProjects\NietoExcercise-1\dataLoader.py:23(load_data)
    44064    0.776    0.000    0.776    0.000 {method 'read' of '_io.BytesIO' objects}
   511012    0.774    0.000    1.397    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:80(_asfarray)
       18    0.765    0.042    6.881    0.382 f:\PythonProjects\NietoExcercise-1\util.py:144(fftData)
   255488    0.759    0.000    1.263    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\fft\helper.py:173(rfftfreq)
   255488    0.720    0.000   46.850    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\signal\spectral.py:457(csd)
       18    0.712    0.040   47.760    2.653 f:\PythonProjects\NietoExcercise-1\util.py:153(welchData)
   255506    0.689    0.000    0.689    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\scipy\fft\_pocketfft\helper.py:112(_fix_shape)
   255488    0.650    0.000    1.007    0.000 c:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\core\numeric.py:1218(rollaxis)
   768408    0.594    0.000    0.594    0.000 {method 'reshape' of 'numpy.ndarray' objects}
