         107766256 function calls (106241653 primitive calls) in 3086.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    59274 2178.057    0.037 2178.057    0.037 {method 'acquire' of '_thread.lock' objects}
    15000  102.547    0.007 2443.599    0.163 C:\Users\Luna\anaconda3\envs\mentalab3\lib\queue.py:147(get)
     7674   74.953    0.010   74.953    0.010 {method 'read' of '_io.BufferedReader' objects}
    13552   73.451    0.005   73.677    0.005 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:251(_acquire_restore)
  4760263   71.057    0.000   71.057    0.000 {built-in method numpy.array}
    14049   63.391    0.005 2316.031    0.165 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:263(wait)
  2844247   55.549    0.000   55.549    0.000 {method 'reduce' of 'numpy.ufunc' objects}
6093755/4746783   52.737    0.000  218.748    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    28524   30.671    0.001   30.901    0.001 C:\Users\Luna\anaconda3\envs\mentalab3\lib\queue.py:202(_qsize)
23201/15311   29.746    0.001   29.835    0.002 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1846   22.931    0.012   22.931    0.012 {built-in method _pickle.load}
      145   20.046    0.138 2463.637   16.991 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\dask\local.py:122(queue_get)
   574912   16.345    0.000   16.345    0.000 {method 'astype' of 'numpy.ndarray' objects}
       64   15.679    0.245   52.112    0.814 f:/PythonProjects/NietoExcercise-1/svm_test_loopGoodBefore.py:350(combineAllSubjects)
     1017   15.548    0.015  339.086    0.333 f:\PythonProjects\NietoExcercise-1\feature_extraction.py:796(getFeatures)
     2955   13.537    0.005   13.537    0.005 {built-in method io.open}
      261   13.488    0.052   13.488    0.052 {built-in method _pickle.dump}
      459   11.159    0.024   37.999    0.083 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:2891(_read_one_epoch_file)
       90    9.693    0.108    9.693    0.108 {built-in method time.sleep}
      145    8.503    0.059   30.671    0.212 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\numpy\lib\nanfunctions.py:1421(nanvar)
      580    8.243    0.014   14.204    0.024 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\utils\__init__.py:635(safe_sqr)
      145    8.239    0.057    8.249    0.057 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\feature_selection\_univariate_selection.py:150(<listcomp>)
      145    7.694    0.053   19.966    0.138 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\sklearn\preprocessing\_data.py:865(transform)
      459    7.415    0.016    9.097    0.020 C:\Users\Luna\anaconda3\envs\mentalab3\lib\site-packages\mne\epochs.py:3368(_concatenate_epochs)
    20213    7.326    0.000    7.390    0.000 C:\Users\Luna\anaconda3\envs\mentalab3\lib\threading.py:239(__enter__)
      153    7.109    0.046  157.655    1.030 f:\PythonProjects\NietoExcercise-1\dataLoader.py:23(load_data)
   772416    7.103    0.000    7.103    0.000 {method 'read' of '_io.BytesIO' objects}
       72    6.937    0.096   27.519    0.382 f:\PythonProjects\NietoExcercise-1\util.py:84(fftCovariance)
       64    6.659    0.104  142.034    2.219 f:/PythonProjects/NietoExcercise-1/svm_test_loopGoodBefore.py:212(anovaTest)
   200635    6.592    0.000    6.592    0.000 {method 'copy' of 'numpy.ndarray' objects}
